label,width,height,area
Bicycle,85.0,74.66666666666667,6977.555555555556
Building,325.0,175.5,57503.0
Bus,244.125,216.625,60540.0
Car,104.16129032258064,71.96774193548387,9283.967741935483
Cargo Truck,108.0,147.0,15876.0
Construction Site,235.5,79.0,20386.0
Flat Car,344.0,120.0,41280.0
Other,43.0,46.0,1978.0
Passenger Car,247.0,156.5,38808.5
Pedestrian,49.76190476190476,106.23809523809524,6329.761904761905
Pedestrian group,67.9090909090909,90.63636363636364,7492.0
Pickup Truck,146.0,108.0,15768.0
Small Car,31.0,29.0,899.0
Truck w/Flatbed,244.0,268.0,65392.0
Utility Truck,97.0,40.0,3880.0
